,Unnamed: 0,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid
1774,1774,OD123002005343730000,G6M4R11,10-02-2021 00:00,Uttar Pradesh,Kanpur,Mobiles & Accessories,Mobiles,4.4,1,6399,6399,18%,Tier_2,0,0,Realme,Yes,No
1775,1775,OD122335670704031000,G6M4R11,17-07-2021 00:00,Uttar Pradesh,Kanpur,Food Products,Flour and Sooji,4.4,1,60,1,5%,Tier_2,99,0,Fortune,No,No
1776,1776,OD122335670704031000,G6M4R11,17-07-2021 00:00,Uttar Pradesh,Kanpur,Food Products,"Dry Fruit, Nut & Seed",4.5,1,479,296,12%,Tier_2,39,0,ProV,No,No
1777,1777,OD122335670704031000,G6M4R11,17-07-2021 00:00,Uttar Pradesh,Kanpur,Food Products,Sugar,4.4,1,60,1,5%,Tier_2,99,0,Uttam,No,No
1778,1778,OD122335670704031000,G6M4R11,17-07-2021 00:00,Uttar Pradesh,Kanpur,Food Products,Noodle,4.5,1,144,134,12%,Tier_2,7,0,Maggi,No,No
1779,1779,OD122335670704031000,G6M4R11,17-07-2021 00:00,Uttar Pradesh,Kanpur,Food Products,Namkeen,4.2,1,200,109,12%,Tier_2,46,0,PARLE,No,No
1780,1780,OD122335670704031000,G6M4R11,17-07-2021 00:00,Uttar Pradesh,Kanpur,Food Products,"Biscuit, Cookie and Rusk",4,1,35,35,12%,Tier_2,0,0,Priyagold,No,No
1781,1781,OD122335670704031000,G6M4R11,17-07-2021 00:00,Uttar Pradesh,Kanpur,Food Products,Flour and Sooji,4.3,1,58,1,5%,Tier_2,99,0,Pillsbury,No,No
1782,1782,OD122335670704031000,G6M4R11,17-07-2021 00:00,Uttar Pradesh,Kanpur,Food Products,Ghee and Vanaspati,4.3,1,55,1,5%,Tier_2,99,0,Ananda,No,No
1783,1783,OD122335670704031000,G6M4R11,17-07-2021 00:00,Uttar Pradesh,Kanpur,Food Products,"Biscuit, Cookie and Rusk",4,1,100,19,12%,Tier_2,81,0,Dukes,No,No
1784,1784,OD122297533386028000,G6M4R12,13-07-2021 00:00,Uttar Pradesh,Kanpur,Footwear,Women's Footwear,4.3,1,849,849,5%,Tier_2,0,0,SPARX,No,No
1785,1785,OD122200339454084000,G6M4R12,07-01-2021 00:00,Uttar Pradesh,Kanpur,Audio & Video,Speakers,3.8,1,2099,2099,18%,Tier_2,0,0,Intex,No,No
1786,1786,OD122200339454084000,G6M4R12,07-01-2021 00:00,Uttar Pradesh,Kanpur,Home & Kitchen,Home Appliances,4.3,1,13890,13890,18%,Tier_2,0,0,SAMSUNG,No,No
1787,1787,OD122113494843326000,G6M4R12,21-06-2021 00:00,Uttar Pradesh,Kanpur,Audio & Video,Headphones,3.7,1,699,699,18%,Tier_2,0,0,HOPPUP,No,No
1788,1788,OD121865516509684000,G6M4R12,24-05-2021 00:00,Uttar Pradesh,Kanpur,Computers,Laptop Accessories,4.2,1,349,349,18%,Tier_2,0,0,ZEBRONICS,No,2nd Wave
1789,1789,OD121851878113002000,G6M4R12,22-05-2021 00:00,Uttar Pradesh,Kanpur,Food Products,Sauce and Dip,3.6,1,150,110,12%,Tier_2,27,0,Maggi,No,2nd Wave
1790,1790,OD121851878113002000,G6M4R12,22-05-2021 00:00,Uttar Pradesh,Kanpur,Food Products,Ghee and Vanaspati,4.3,1,55,1,5%,Tier_2,99,0,Ananda,No,2nd Wave
1791,1791,OD121851878113002000,G6M4R12,22-05-2021 00:00,Uttar Pradesh,Kanpur,Food Products,"Dry Fruit, Nut & Seed",4.4,1,149,1,12%,Tier_2,100,0,Farmley,No,2nd Wave
